samsung|SAMSUNG-SM-G870A|klteattactive|5.0
LGE|LG-D725|jagnm|5.0.2
samsung|GT-I9305|m3|5.1.1
samsung|SM-P550|gt5note10wifi|5.0.2
motorola|Moto Maxx|quark|5.1.1
samsung|SM-G900FD|klte|5.0
samsung|SM-G900T|kltetmo|5.1.1
samsung|SM-G900R4|klteusc|5.0
samsung|SM-N900U|hlte|5.0
samsung|SM-G9250|zeroltechn|5.0.2
Sony|C6602|C6602|5.0.2
Sony|D6543|D6543|5.0.2
Sony|Xperia Z2|sirius|5.0.2
LGE|LG-F520K|aka|5.0.2
Sony|C6943|C6943|5.0.2
samsung|GT-I9100|GT-I9100|5.1.1
samsung|SM-P601|lt033g|5.1.1
motorola|XT1097|victara|5.1
asus|K016|K016_2|5.0
samsung|SM-N910H|tre3g|5.0.1
samsung|SM-G900I|kltedv|5.1.1
samsung|SM-T530NU|matissewifiue|5.0.2
samsung|SPH-L720|jfltespr|5.0.1
samsung|SAMSUNG-SM-G925A|zerolteatt|5.0.2
Sony|C6603|C6603|5.0.2
LGE|LGMS345|c50|5.0.2
LGE|LG-H440n|c70n|5.0.1
LGE|LG-MS323|w5|5.1.1
samsung|SM-T705|klimtlte|5.0.2
motorola|Nexus 6|shamu|5.1.1
asus|ASUS_Z002|ASUS_Z002|5.0
HTC|HTC One M9|htc_himaulatt|6.0
samsung|SM-G313HZ|vivalto3gvn|5.1
Sony|Xperia Z Ultra|togari|5.1.1
HTC|HTC Desire 816 dual sim|htc_a5dwg|5.0.2
HTC|HTC_M8x|htc_m8|5.0.2
samsung|SPH-L710|d2spr|5.1.1
motorola|MotoE2(4G-LTE)|surnia_udstv|5.0.2
samsung|SM-G925P|zeroltespr|5.0.2
LGE|LG-D410|w7dsn|5.0.2
samsung|Nexus 10|manta|5.1.1
LGE|LG-D802T|g2|5.0.2
samsung|SM -G3812B|wilcoxds|5.1.0
Sony|Xperia SP|huashan|5.1.1
samsung|SAMSUNG-SM-T807A|chagalllteatt|5.0.2
asus|Nexus 7|deb|5.1.1
samsung|GT-I9195|serranoltexx|5.1.1
samsung|SM-T530NN|matissewifigoogle|5.0.2
Sony|SGP311|SGP311|5.0.2
motorola|XT1528|surnia_cdma|5.1
samsung|SPH-L720T|jflterefreshspr|5.0.1
LGE|LG-D415|w7|5.0.2
samsung|GT-I9300|trelte|5.0.1
LGE|LG-H815|p1|5.1
